date,symbol,broker,long_position,long_change,short_position,short_change,rank
2026-07-30,P,中粮期货,32833,197,45495,2435,5
2026-07-30,P,海通期货,25832,-571,26484,850,6
2026-07-30,P,中信建投,20606,-553,26879,198,7
2026-07-30,P,国投期货,27552,795,19216,1011,8
2026-07-30,P,华泰期货,25187,1438,19957,-719,9
2026-07-30,P,国富期货,13788,1293,27334,762,10
2026-07-30,P,广发期货,22477,2569,18160,1182,11
2026-07-30,P,招商期货,23751,611,11567,328,12
2026-07-30,P,永安期货,21829,-190,10282,-1088,13
2026-07-30,P,摩根大通,19155,-968,12177,-2574,14
2026-07-30,P,银河期货,13775,-94,13155,-882,15
2026-07-30,P,乾坤期货,0,0,26512,-2372,16
2026-07-30,P,浙商期货,6369,-199,14040,4337,17
2026-07-30,P,五矿期货,18268,-293,52,0,18
2026-07-30,P,国贸期货,0,0,17902,-71,19
2026-07-30,P,中金财富,1039,-169,15810,-252,20
2026-07-30,Y,中粮期货,54633,2380,227948,-1932,1
2026-07-30,Y,国泰君安,132152,-4744,88164,463,2
2026-07-30,Y,国投期货,33081,2630,113528,892,3
2026-07-30,Y,东证期货,63874,-1073,73465,-555,4
2026-07-30,Y,中信期货,60498,1248,69463,4381,5
2026-07-30,Y,广发期货,42154,-155,87355,-1194,6
2026-07-30,Y,海通期货,55057,1347,39147,932,7
2026-07-30,Y,摩根大通,44945,-2951,31359,176,8
2026-07-30,Y,招商期货,31171,-354,29550,62,9
2026-07-30,Y,永安期货,31965,2863,27648,533,10
2026-07-30,Y,宏源期货,19610,-112,38619,-99,11
2026-07-30,Y,南华期货,33545,2996,22057,2726,12
2026-07-30,Y,中信建投,30184,573,24274,17,13
2026-07-30,Y,乾坤期货,29597,-3274,23560,7264,14
2026-07-30,Y,华泰期货,22820,-1157,20435,-85,15
2026-07-30,Y,一德期货,25757,143,10041,218,16
2026-07-30,Y,银河期货,20557,-505,10206,-54,17
2026-07-30,Y,建信期货,17094,259,12676,-454,18
2026-07-30,Y,中泰期货,20260,650,8471,-2844,19
2026-07-30,Y,西部期货,24235,91,0,0,20
2026-07-31,OI,中信建投,50215,-3692,54072,-3997,1
2026-07-31,OI,中信期货,55502,-1416,47445,-184,2
2026-07-31,OI,中粮期货,21542,499,80656,-2639,3
2026-07-31,OI,国投安信,21753,-255,66917,-1752,4
2026-07-31,OI,华泰期货,24069,-16,32803,-106,5
2026-07-31,OI,国泰君安,30222,-1096,18298,-770,6
2026-07-31,OI,浙商期货,13826,1040,34230,774,7
2026-07-31,OI,乾坤期货,45124,-4245,0,0,8
2026-07-31,OI,东证期货,23484,-503,20677,-92,9
2026-07-31,OI,摩根大通,38122,-1151,1385,-629,10
2026-07-31,OI,南华期货,12685,47,18732,98,11
2026-07-31,OI,一德期货,22035,38,7942,-414,12
2026-07-31,OI,五矿期货,14145,-496,14587,-566,13
2026-07-31,OI,银河期货,11177,294,7359,-303,14
2026-07-31,OI,广发期货,8075,-156,6420,-125,15
2026-07-31,OI,中投天琪,11281,-1505,0,0,16
2026-07-31,OI,瑞银期货,10345,-10,0,0,17
2026-07-31,OI,海通期货,6132,681,3098,-113,18
2026-07-31,OI,鲁证期货,2389,-95,6483,-263,19
2026-07-31,OI,创元期货,4985,440,3007,47,20
2026-07-31,P,国泰君安,106100,5052,82152,504,1
2026-07-31,P,中信期货,40550,-649,74997,4816,2
2026-07-31,P,东证期货,38576,-7406,55807,-4537,3
2026-07-31,P,一德期货,50899,357,41121,618,4
2026-07-31,P,中粮期货,34784,1731,47116,1420,5
2026-07-31,P,海通期货,29800,567,30009,117,6
2026-07-31,P,中信建投,22875,602,28226,-318,7
2026-07-31,P,国投期货,28620,1068,18979,-237,8
2026-07-31,P,华泰期货,25810,623,19687,-229,9
2026-07-31,P,广发期货,22033,-480,16608,-1568,10
2026-07-31,P,招商期货,24185,-823,11774,-1051,11
2026-07-31,P,国富期货,9488,230,25165,-2169,12
2026-07-31,P,永安期货,21971,132,10246,-36,13
2026-07-31,P,摩根大通,14969,-4186,15136,2959,14
2026-07-31,P,乾坤期货,0,0,29149,2629,15
2026-07-31,P,银河期货,14705,903,12937,-229,16
2026-07-31,P,浙商期货,6315,-54,14048,8,17
2026-07-31,P,瑞达期货,5577,35,14336,1314,18
2026-07-31,P,国贸期货,10,0,17973,71,19
2026-07-31,P,南华期货,11055,2339,6294,1368,20
2026-07-31,Y,中粮期货,54374,-259,225243,-2705,1
2026-07-31,Y,国泰君安,129616,-2536,88435,271,2
2026-07-31,Y,国投期货,32000,-1081,110264,-3264,3
2026-07-31,Y,东证期货,61222,-2652,73552,87,4
2026-07-31,Y,中信期货,60939,441,73010,3547,5
2026-07-31,Y,广发期货,41443,-711,86367,-988,6
2026-07-31,Y,海通期货,53888,-1169,39078,-69,7
2026-07-31,Y,摩根大通,41544,-3401,30233,-1126,8
2026-07-31,Y,永安期货,33842,1877,28761,1113,9
2026-07-31,Y,南华期货,34984,1439,22363,306,10
2026-07-31,Y,宏源期货,19611,1,37534,-1085,11
2026-07-31,Y,中信建投,31745,1561,24294,20,12
2026-07-31,Y,乾坤期货,28225,-1372,22848,-707,13
2026-07-31,Y,招商期货,23399,-2277,23664,-2183,14
2026-07-31,Y,华泰期货,23841,1021,19894,-541,15
2026-07-31,Y,一德期货,26461,704,9799,-242,16
2026-07-31,Y,银河期货,18927,-1630,10198,-8,17
2026-07-31,Y,建信期货,16903,-191,11543,-795,18
2026-07-31,Y,中泰期货,20703,443,5665,-2806,19
2026-07-31,Y,西部期货,24391,156,0,0,20
2026-08-03,OI,中信期货,56535,1033,48248,803,1
2026-08-03,OI,中粮期货,21928,386,80936,280,2
2026-08-03,OI,中信建投,44982,-5233,48575,-5497,3
2026-08-03,OI,国投安信,21290,-463,66703,-214,4
2026-08-03,OI,华泰期货,23958,-111,32061,-742,5
2026-08-03,OI,东证期货,27393,3909,21543,866,6
2026-08-03,OI,浙商期货,13895,69,34052,-178,7
2026-08-03,OI,国泰君安,28220,-2002,17415,-883,8
